h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
2.851656e-01	2.053722e-01	1.706993e-01	2.484095e-02	1.768779e-02	29	
1.852109e-01	1.251075e-01	5.057397e-01	2.031605e-01	1.022930e-02	17	
1.126867e-01	7.424398e-02	2.525143e-01	2.478179e-02	1.153672e-02	15	
2.312497e-01	1.146545e-01	4.530052e-01	1.037484e-01	1.152572e-02	17	
5.480707e-02	8.145025e-03	9.638180e-01	8.108301e-01	1.465479e-02	20	
4.307632e-01	3.482429e-01	5.233524e-01	1.535206e-01	1.407101e-02	16	
1.844663e-01	1.830806e-01	3.418638e-01	5.756253e-02	1.196739e-02	16	
3.736090e-02	1.513115e-02	6.933642e-01	2.704548e-01	1.822030e-02	31	
5.267837e-01	3.054397e-01	6.324566e-01	4.019783e-01	2.201552e-02	27	
1.691100e-01	2.229194e-02	9.625661e-01	7.160106e-01	1.024557e-02	9	
4.053428e-01	2.977849e-01	5.215460e-01	1.244441e-01	1.161512e-02	15	
1.350444e-01	9.445396e-02	8.943028e-01	8.500874e-01	1.554578e-02	16	
5.106079e-02	2.840032e-02	2.201566e-01	1.221724e-01	1.159709e-02	11	
6.621522e-01	5.142422e-01	1.438712e-01	2.509666e-02	1.525748e-02	12	
4.811537e-01	3.487689e-01	5.068206e-01	4.111664e-02	7.552551e-03	7	
2.219178e-01	7.154231e-02	9.044717e-01	2.886780e-01	7.049122e-03	5	
2.147152e-01	1.125420e-01	6.906464e-01	4.825494e-02	4.388744e-03	4	
3.378397e-01	1.233065e-01	7.395347e-01	1.139474e-01	3.492785e-03	4	
1.470417e-01	2.177236e-02	8.778051e-01	2.193899e-01	3.781018e-03	4	
7.004122e-01	3.118968e-01	9.944425e-01	9.756659e-01	4.412701e-03	7	
1.705961e-01	1.270135e-01	2.394669e-01	1.584417e-02	4.593781e-03	5	
5.256675e-02	1.482530e-02	7.804970e-01	6.358407e-02	5.162173e-03	4	
1.341372e-01	5.255094e-02	6.375485e-01	1.822727e-01	3.087100e-03	3	
1.026368e-01	6.346226e-02	4.857176e-01	4.440721e-02	3.209773e-03	3	
1.438050e-01	1.107332e-01	2.462144e-01	1.475364e-02	3.266029e-03	2	
2.300933e-01	3.337185e-02	9.296251e-01	3.043687e-01	3.633078e-03	3	
5.364455e-01	2.330574e-01	6.223729e-01	4.946377e-02	4.267893e-03	7	
5.946286e-01	4.851125e-01	1.617960e-02	2.440777e-03	3.816980e-03	5	
2.898907e-01	2.588804e-01	1.062277e-01	1.648619e-03	2.181992e-03	1	
6.292737e-02	3.340890e-02	4.393551e-01	1.221792e-01	1.409679e-03	5	
7.408540e-02	4.444964e-02	8.913900e-01	7.997133e-01	9.752352e-04	1	
2.546944e-01	1.147863e-01	5.477736e-01	4.359208e-03	1.595400e-03	3	
2.191499e-01	1.320881e-01	3.227588e-01	1.956166e-02	1.600651e-03	1	
1.635327e-01	8.802015e-02	4.003103e-01	1.944166e-02	1.661565e-03	2	
1.144113e-01	8.207679e-02	4.448855e-02	4.242602e-02	2.003959e-03	4	
3.891133e-01	3.054177e-01	3.464794e-01	2.674304e-02	3.345257e-03	4	
5.102503e-01	2.188753e-01	7.750174e-01	1.922726e-01	3.892921e-03	4	
2.302177e-01	2.036129e-01	3.076123e-03	2.450313e-04	5.210678e-03	7	
2.339375e-01	1.402534e-01	2.486802e-01	1.570405e-01	3.008315e-03	5	
2.300150e-01	1.716690e-01	5.561036e-02	7.207890e-03	2.495669e-03	3	
5.886225e-01	4.594914e-01	5.660039e-01	1.984027e-01	3.011265e-03	3	
2.621456e-01	3.817502e-02	9.036094e-01	2.289094e-01	4.445598e-03	5	
3.459519e-01	1.965770e-01	6.634240e-01	3.236565e-01	5.498759e-03	6	
5.623825e-01	2.077618e-01	9.338523e-01	4.816932e-01	5.148747e-03	10	
1.904765e-01	1.137818e-01	3.335283e-01	1.204095e-02	6.801150e-03	6	
1.842349e-01	5.480219e-02	9.142315e-01	6.728566e-01	1.151838e-02	13	
1.166430e-02	4.154638e-03	6.596002e-01	2.211530e-01	9.996457e-03	15	
6.290425e-01	5.347443e-01	3.155340e-01	1.756142e-01	1.596457e-02	19	
2.113294e-01	9.683930e-02	5.948851e-01	1.069642e-01	1.455971e-02	18	
7.548003e-01	3.955388e-01	9.281362e-01	5.373223e-01	1.801514e-02	23	
5.026491e-01	1.411996e-01	9.567629e-01	7.748225e-01	1.594521e-02	23	
8.813204e-01	6.163195e-01	9.845033e-01	9.322421e-01	1.311100e-02	19	
7.588306e-02	3.573833e-02	6.241072e-01	2.669025e-01	1.281690e-02	11	
6.217162e-01	1.745553e-01	9.789639e-01	8.570169e-01	1.357825e-02	21	
1.886936e-01	4.917254e-02	7.736168e-01	4.863887e-01	1.551810e-02	28	
4.258037e-01	1.124573e-01	9.777474e-01	8.701497e-01	2.042619e-02	29	
5.900126e-01	3.024893e-01	7.511302e-01	1.192164e-01	1.158913e-02	10	
4.340950e-01	8.147853e-02	9.549444e-01	7.021861e-01	1.458898e-02	17	
9.216397e-01	6.844635e-01	9.277331e-01	5.512782e-01	1.234514e-02	12	
1.777868e-01	9.644218e-02	5.596345e-01	8.237509e-02	1.403051e-02	21	
2.214778e-01	1.380499e-01	4.000783e-02	7.472441e-03	1.375995e-02	27	
