h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
2.506748e-01	1.659640e-01	3.915125e-02	1.302652e-02	6.375058e-02	82	
1.374479e-02	1.734292e-02	3.539366e-02	3.129597e-03	7.238865e-02	86	
1.593402e-01	3.128204e-02	9.166440e-01	7.011102e-01	8.484493e-02	103	
4.533255e-01	3.302692e-01	5.166279e-01	1.259567e-01	7.958727e-02	104	
3.871490e-01	1.389783e-01	7.736004e-01	4.203080e-01	9.848314e-02	126	
8.392513e-01	6.607354e-01	6.751832e-01	3.054825e-01	9.904687e-02	127	
2.225862e-01	4.392176e-02	9.033506e-01	4.190983e-01	1.010174e-01	123	
1.227277e-01	9.313952e-02	6.030773e-01	7.978426e-02	1.094777e-01	138	
9.449338e-02	1.909580e-02	9.987558e-01	9.967464e-01	9.470693e-02	131	
2.956051e-02	1.937180e-02	1.521768e-01	7.218464e-02	9.968156e-02	146	
8.852967e-03	6.190416e-03	1.876067e-01	1.949122e-02	1.412449e-01	154	
1.578247e-01	7.929715e-02	7.315487e-01	3.737057e-01	1.156480e-01	155	
3.824107e-02	2.576955e-02	2.279391e-01	9.165437e-02	1.239383e-01	168	
4.418195e-02	1.514351e-02	6.899317e-01	3.292953e-01	1.246677e-01	163	
3.364132e-01	2.559965e-01	2.195692e-01	7.390371e-02	1.274718e-01	152	
3.205479e-01	2.002541e-01	1.314978e-01	3.246495e-02	1.201596e-01	149	
1.497761e-01	7.792125e-02	3.570621e-01	1.292947e-01	1.105748e-01	127	
1.128922e-01	5.408854e-02	3.519003e-01	6.912891e-02	1.126770e-01	132	
8.179801e-02	4.689083e-02	4.795915e-01	1.017544e-01	1.063515e-01	135	
6.084195e-02	3.360920e-02	9.430669e-03	1.218116e-03	1.001172e-01	140	
1.409094e-01	6.432035e-02	3.899528e-01	9.527357e-02	9.553151e-02	130	
2.351916e-01	1.244222e-01	5.127533e-01	2.015421e-01	9.909437e-02	125	
4.295861e-01	1.940937e-01	5.595880e-01	1.917464e-01	1.024698e-01	130	
5.114696e-01	4.113606e-01	1.690813e-02	2.391158e-03	1.068544e-01	134	
2.429170e-01	5.849380e-02	8.490879e-01	5.836111e-01	9.960955e-02	132	
1.216120e-01	3.317191e-02	8.269182e-01	4.377157e-01	1.254703e-01	141	
3.586571e-01	1.466461e-01	6.150851e-01	2.531018e-01	1.019453e-01	135	
2.665613e-01	1.662036e-01	1.392992e-01	8.172248e-02	8.272475e-02	115	
3.375412e-02	1.963662e-02	2.976385e-01	3.983744e-02	8.311015e-02	108	
6.527133e-02	8.156945e-02	1.042273e-01	9.410545e-03	8.264499e-02	102	
2.942750e-01	1.993058e-01	3.343587e-01	6.212825e-02	8.303376e-02	100	
1.410979e-01	9.706781e-02	2.324473e-01	9.022038e-02	7.686380e-02	106	
3.356777e-02	3.482617e-02	5.274871e-02	3.947562e-03	7.916295e-02	84	
3.328331e-01	1.073205e-01	8.409499e-01	5.923702e-01	4.698505e-02	57	
4.364020e-01	2.637357e-01	2.852219e-01	1.991612e-01	4.393414e-02	60	
5.632296e-02	1.356655e-02	8.779797e-01	5.975513e-01	2.496060e-02	41	
2.303447e-01	1.627634e-01	2.317360e-02	2.277750e-03	2.284732e-02	17	
5.160733e-01	3.599093e-01	4.534495e-01	1.469591e-01	1.622380e-02	21	
1.033235e-01	3.829018e-02	7.131016e-01	2.876493e-01	1.243642e-02	11	
7.027587e-02	1.586377e-02	8.634930e-01	5.831268e-01	1.310758e-02	13	
2.855296e-01	8.615237e-02	9.179028e-01	5.745825e-01	1.061201e-02	13	
2.208652e-01	2.119246e-01	2.718869e-01	5.753108e-02	5.699320e-03	11	
7.887847e-03	8.489890e-03	7.806793e-01	7.787388e-01	4.523167e-03	7	
3.830197e-01	2.617373e-01	3.564871e-01	1.301883e-01	5.149338e-03	9	
6.901214e-01	4.091492e-01	7.934768e-01	5.280821e-01	2.778911e-03	8	
5.203000e-01	2.737733e-01	3.348374e-01	1.451885e-05	2.282093e-03	1	
5.690526e-01	2.763603e-01	9.289441e-01	7.207148e-01	5.592653e-03	7	
5.977688e-01	1.365634e-01	9.566179e-01	5.255121e-01	2.680031e-03	4	
1.969925e-02	2.085746e-02	1.455919e-01	2.891126e-03	2.602204e-03	1	
1.256969e-01	9.893279e-02	1.834878e-01	0.000000e+00	1.213751e-03	0	
4.329396e-01	3.021400e-01	3.977219e-01	1.206996e-01	2.828689e-03	5	
3.249106e-01	1.389937e-01	6.812789e-01	7.456167e-02	2.998042e-03	3	
3.664130e-01	1.235741e-01	8.171794e-01	3.127965e-01	3.235830e-03	2	
3.007751e-01	1.881146e-01	5.742983e-01	6.079703e-01	3.579514e-03	7	
5.858714e-01	2.178671e-01	7.541541e-01	2.382112e-01	3.994477e-03	2	
3.522077e-01	1.795206e-01	7.584102e-01	2.772986e-01	3.417236e-03	2	
1.741223e-01	1.121685e-01	1.879965e-01	2.083745e-03	4.779809e-03	7	
4.520756e-01	9.953869e-02	8.900977e-01	1.524503e-01	4.092460e-03	3	
1.259827e-01	4.755105e-02	5.814560e-01	8.397855e-02	4.413710e-03	1	
3.329813e-01	1.129049e-01	6.371143e-01	2.808113e-01	4.559542e-03	7	
4.471220e-02	2.616349e-02	3.186749e-01	5.280602e-02	4.774220e-03	6	
3.548428e-01	6.821045e-02	9.167147e-01	4.160923e-01	4.694141e-03	3	
